# created by LinkChecker at 2025-12-17 14:42:53-004
# Read the documentation at https://linkchecker.github.io/linkchecker/
# Write comments and bugs to https://github.com/linkchecker/linkchecker/issues
urlname;parentname;base;result;warningstring;infostring;valid;url;line;column;name;dltime;size;checktime;cached;level;modified
https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/File/Our%20School/Kristie%20Gordon%20-%20Counselor/Counseling%20Referral/counseling%20referral%20-Student%20Self%20referral.docx;https://porter.bcsdk12.net/our-school/counselors-corner/counseling-referral;;404 Not Found;;;False;https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/File/Our%20School/Kristie%20Gordon%20-%20Counselor/Counseling%20Referral/counseling%20referral%20-Student%20Self%20referral.docx;443;51;click here;-1;-1;14.798732042312622;0;2;
https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/File/Our%20School/Kristie%20Gordon%20-%20Counselor/Counseling%20Referral/Counselor%20Referral%202018%20print%20version.docx;https://porter.bcsdk12.net/our-school/counselors-corner/counseling-referral;;404 Not Found;;;False;https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/File/Our%20School/Kristie%20Gordon%20-%20Counselor/Counseling%20Referral/Counselor%20Referral%202018%20print%20version.docx;445;54;Click Here;-1;-1;14.762506008148193;0;2;
https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/File/Our%20School/Kristie%20Gordon%20-%20Counselor/Counseling%20Referral/Parent%20referral.docx;https://porter.bcsdk12.net/our-school/counselors-corner/counseling-referral;;404 Not Found;;;False;https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/File/Our%20School/Kristie%20Gordon%20-%20Counselor/Counseling%20Referral/Parent%20referral.docx;447;53;click here;-1;-1;14.442616701126099;0;2;
https://porter.bcsdk12.net/cms/One.aspx?portalId=1740853&pageId=2025070;https://porter.bcsdk12.net/our-school/counselors-corner/decision-making-activities;;403 Forbidden;;;False;https://porter.bcsdk12.net/cms/One.aspx?portalId=1740853&pageId=2025070;448;7;CONFLICT RESOLUTION GAMES;-1;-1;14.494170427322388;0;2;
https://porter.bcsdk12.net/cms/One.aspx?portalId=1740853&pageId=2025074;https://porter.bcsdk12.net/our-school/counselors-corner/decision-making-activities;;403 Forbidden;;;False;https://porter.bcsdk12.net/cms/One.aspx?portalId=1740853&pageId=2025074;489;7;DECISION MAKING GAMES;-1;-1;14.616764068603516;0;2;
https://porter.bcsdk12.net/cms/One.aspx?portalId=1740853&pageId=2025078;https://porter.bcsdk12.net/our-school/counselors-corner/decision-making-activities;;403 Forbidden;;;False;https://porter.bcsdk12.net/cms/One.aspx?portalId=1740853&pageId=2025078;521;4;FEELINGS GAMES & VIDEOS;-1;-1;14.878772258758545;0;2;
https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/File/Our%20School/Parents/PTA_GA_6PG_17DEC13_FINAL.pdf;https://porter.bcsdk12.net/parents;;404 Not Found;;;False;https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/File/Our%20School/Parents/PTA_GA_6PG_17DEC13_FINAL.pdf;654;4;Georgia Milestones Parents' Guide;-1;-1;16.035157918930054;0;2;
https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/Image/Parents/Writing.png;https://porter.bcsdk12.net/parents;;404 Not Found;;;False;https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/Image/Parents/Writing.png;663;4;Writing;-1;-1;15.796663761138916;0;2;
https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/Image/Parents/Test%20Practice%202.jpg;https://porter.bcsdk12.net/parents;;404 Not Found;;;False;https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/Image/Parents/Test%20Practice%202.jpg;667;4;Test Practice;-1;-1;15.705018997192383;0;2;
https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/Image/Parents/Research%20Reference.png;https://porter.bcsdk12.net/parents;;404 Not Found;;;False;https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/Image/Parents/Research%20Reference.png;673;7;Research & Reference;-1;-1;15.67780089378357;0;2;
https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/Image/Parents/Social%20Studies.png;https://porter.bcsdk12.net/parents;;404 Not Found;;;False;https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/Image/Parents/Social%20Studies.png;706;7;Social Studies;-1;-1;15.733279705047607;0;2;
https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/Image/Parents/Periodicals3.png;https://porter.bcsdk12.net/parents;;404 Not Found;;;False;https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/Image/Parents/Periodicals3.png;683;7;Periodicals;-1;-1;15.951499938964844;0;2;
https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/Image/Parents/Technology4.jpg;https://porter.bcsdk12.net/parents;;404 Not Found;;;False;https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/Image/Parents/Technology4.jpg;722;7;Technology;-1;-1;15.375403642654419;0;2;
https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/File/Parents/Georgia%20Milestones%20Resources/Georgia%20Milestones_Changing%20Landscape%20of%20Assessments.pdf;https://porter.bcsdk12.net/parents/georgia-milestones-resources;;404 Not Found;;;False;https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/File/Parents/Georgia%20Milestones%20Resources/Georgia%20Milestones_Changing%20Landscape%20of%20Assessments.pdf;422;4;Georgia Milestones Assessment System;-1;-1;14.618409872055054;0;2;
https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/File/Parents/Georgia%20Milestones%20Resources/GM%20EOG%20Content%20Weights.pdf;https://porter.bcsdk12.net/parents/georgia-milestones-resources;;404 Not Found;;;False;https://porter.bcsdk12.net/UserFiles/Servers/Server_1740769/File/Parents/Georgia%20Milestones%20Resources/GM%20EOG%20Content%20Weights.pdf;424;4;Georgia Milestones Content Weights;-1;-1;14.69623851776123;0;2;
# Stopped checking at 2025-12-17 14:43:31-004 (38 seconds)
